,Threshold,Accuracy,Precision,Specificity,Sensitivity,AUC,AUPR
0,1.5666666666666667,0.8358892512663937,0.0,1.0,0.0,0.653566876655695,0.5820553743668031
0,0.5666666666666667,0.8358892512663937,0.5,0.9998339697825004,0.0008456659619450317,0.653566876655695,0.332408815910679
0,0.5333333333333333,0.8354729026438138,0.25,0.9992528640212519,0.0012684989429175475,0.653566876655695,0.20758553668261692
0,0.5,0.8347095968357505,0.2702702702702703,0.9977585920637556,0.004228329809725159,0.653566876655695,0.21895771722131754
0,0.4666666666666667,0.8347095968357505,0.38666666666666666,0.9961813049975096,0.01226215644820296,0.653566876655695,0.28051361008633635
0,0.43333333333333335,0.8331135937825273,0.35714285714285715,0.9925286402125186,0.021141649048625793,0.653566876655695,0.269462841535128
0,0.4,0.831309416418014,0.3700787401574803,0.9867175826000332,0.039746300211416494,0.653566876655695,0.2837064970077084
0,0.36666666666666664,0.825966275761571,0.3442265795206972,0.9750124522663125,0.0668076109936575,0.653566876655695,0.28209054609334416
0,0.3333333333333333,0.8166678231906183,0.3244613434727503,0.9557529470363606,0.10824524312896405,0.653566876655695,0.28952656371928753
0,0.3,0.804385538824509,0.32154088050314467,0.9283579611489291,0.17293868921775898,0.653566876655695,0.3151046103409875
0,0.26666666666666666,0.7812781902713205,0.3009610520991401,0.8852731197077868,0.25158562367864695,0.653566876655695,0.3376847597194397
0,0.23333333333333334,0.7435986399278329,0.27699530516431925,0.8210194255354475,0.3492600422832981,0.653566876655695,0.3665243845696903
0,0.2,0.6943307195892027,0.2612359550561798,0.738004316785655,0.4718816067653277,0.653566876655695,0.40989373337761936
0,0.16666666666666666,0.6218166678231907,0.24088694775743322,0.6248547235596879,0.6063424947145878,0.653566876655695,0.45591643520450675
0,0.13333333333333333,0.5348691971410728,0.22227912932138283,0.4957662294537606,0.7340380549682876,0.653566876655695,0.49998219911173547
0,0.1,0.4239816806606065,0.19995956328346137,0.34301842935414245,0.8363636363636363,0.653566876655695,0.531588842901753
0,0.06666666666666667,0.3048365831656374,0.18189375675450994,0.18304831479329237,0.9251585623678646,0.653566876655695,0.559667301744242
0,0.03333333333333333,0.20866005134966345,0.1691677036820145,0.05777851568985556,0.9771670190274842,0.653566876655695,0.5750409301563593
0,0.0,0.20866005134966345,0.1691677036820145,0.05777851568985556,0.9771670190274842,0.653566876655695,0.5750409301563593
