,Threshold,Accuracy,Precision,Specificity,Sensitivity,AUC,AUPR
0,1.980972061314136,0.8358892512663937,0.0,1.0,0.0,0.7867772902955864,0.5820553743668031
0,0.980972061314136,0.8359586427034904,1.0,1.0,0.00042283298097251583,0.7867772902955864,0.5822320951387411
0,0.688818336645234,0.8585108597599056,1.0,1.0,0.13784355179704016,0.7867772902955864,0.6396663460185672
0,0.6770872688765284,0.8583720768857123,0.9939024390243902,0.9998339697825004,0.13784355179704016,0.7867772902955864,0.6366175655307623
0,0.6770283521821545,0.858441468322809,0.993920972644377,0.9998339697825004,0.13826638477801267,0.7867772902955864,0.6368035531126937
0,0.6608853987995658,0.8581639025744223,0.9819819819819819,0.9995019093475013,0.13826638477801267,0.7867772902955864,0.6308340577814961
0,0.6598797113621199,0.8582332940115189,0.9820359281437125,0.9995019093475013,0.1386892177589852,0.7867772902955864,0.6310377516342993
0,0.6594747718430358,0.8580945111373256,0.9761904761904762,0.9993358791300017,0.1386892177589852,0.7867772902955864,0.6281150256576812
0,0.6520826056236785,0.8581639025744223,0.9762611275964391,0.9993358791300017,0.13911205073995772,0.7867772902955864,0.6283270721326006
0,0.6517026147725542,0.8580945111373256,0.9733727810650887,0.9992528640212519,0.13911205073995772,0.7867772902955864,0.6268828988669254
0,0.6474497539228842,0.8583720768857123,0.9736842105263158,0.9992528640212519,0.1408033826638478,0.7867772902955864,0.6277454966852907
0,0.6394107112754843,0.858025119700229,0.9596541786743515,0.9988377884775029,0.1408033826638478,0.7867772902955864,0.6207304807593086
0,0.6391009859209846,0.8580945111373256,0.9597701149425287,0.9988377884775029,0.1412262156448203,0.7867772902955864,0.6209651696653351
0,0.638570522344138,0.858025119700229,0.9570200573065902,0.9987547733687531,0.1412262156448203,0.7867772902955864,0.6195901408473659
0,0.6379064993319655,0.8580945111373256,0.9571428571428572,0.9987547733687531,0.1416490486257928,0.7867772902955864,0.6198282615374372
0,0.6364889976728516,0.858025119700229,0.9544159544159544,0.9986717582600033,0.1416490486257928,0.7867772902955864,0.6184648101739858
0,0.6350850750891542,0.8580945111373256,0.9545454545454546,0.9986717582600033,0.14207188160676532,0.7867772902955864,0.6187062810106738
0,0.6322734122648954,0.858025119700229,0.9518413597733711,0.9985887431512536,0.14207188160676532,0.7867772902955864,0.617354233624632
0,0.6316872859925666,0.8580945111373256,0.9519774011299436,0.9985887431512536,0.14249471458773785,0.7867772902955864,0.6175989750748562
0,0.6300640510424248,0.858025119700229,0.9492957746478873,0.9985057280425037,0.14249471458773785,0.7867772902955864,0.6162581618338281
0,0.6243053999220207,0.8582332940115189,0.9497206703910615,0.9985057280425037,0.14376321353065538,0.7867772902955864,0.6170007720212289
0,0.6176718301340972,0.8579557282631324,0.9392265193370166,0.9981736676075046,0.14376321353065538,0.7867772902955864,0.6117536964942065
0,0.617157423477604,0.858025119700229,0.9393939393939394,0.9981736676075046,0.14418604651162792,0.7867772902955864,0.6120141272946058
0,0.6132636051299706,0.857816945388939,0.9316939890710383,0.9979246222812552,0.14418604651162792,0.7867772902955864,0.6081641521331553
0,0.6118297645257693,0.8579557282631324,0.9320652173913043,0.9979246222812552,0.14503171247357294,0.7867772902955864,0.6087032078371641
0,0.6106004362265324,0.857816945388939,0.927027027027027,0.9977585920637556,0.14503171247357294,0.7867772902955864,0.6061841126550256
0,0.6104745086975913,0.8578863368260357,0.9272237196765498,0.9977585920637556,0.14545454545454545,0.7867772902955864,0.6064591797517248
0,0.6086388647066665,0.8577475539518423,0.9222520107238605,0.997592561846256,0.14545454545454545,0.7867772902955864,0.6039733252753802
0,0.6078031647216952,0.857816945388939,0.9224598930481284,0.997592561846256,0.14587737843551796,0.7867772902955864,0.604253987209452
0,0.6077940609594582,0.8577475539518423,0.92,0.9975095467375062,0.14587737843551796,0.7867772902955864,0.603024040685388
0,0.6070959231523333,0.857816945388939,0.9202127659574468,0.9975095467375062,0.1463002114164905,0.7867772902955864,0.6033071444360492
0,0.6068541230201007,0.8577475539518423,0.9177718832891246,0.9974265316287564,0.1463002114164905,0.7867772902955864,0.602086703101888
0,0.6060175085224255,0.8579557282631324,0.9184210526315789,0.9974265316287564,0.14756871035940802,0.7867772902955864,0.6029414500889291
0,0.6054610821049964,0.857816945388939,0.9136125654450262,0.9972605014112569,0.14756871035940802,0.7867772902955864,0.6005372064956527
0,0.6038280296103151,0.8580945111373256,0.9145077720207254,0.9972605014112569,0.1492600422832981,0.7867772902955864,0.601691692871254
0,0.6025701418061825,0.858025119700229,0.9121447028423773,0.997177486302507,0.1492600422832981,0.7867772902955864,0.6005101582820799
0,0.598690141502774,0.8582332940115189,0.9128205128205128,0.997177486302507,0.15052854122621565,0.7867772902955864,0.6013782255869615
0,0.5982579333251621,0.8581639025744223,0.9104859335038363,0.9970944711937573,0.15052854122621565,0.7867772902955864,0.6002109359286233
0,0.5979530515571333,0.8582332940115189,0.9107142857142857,0.9970944711937573,0.15095137420718815,0.7867772902955864,0.6005018328057858
0,0.597543873759923,0.8581639025744223,0.9083969465648855,0.9970114560850075,0.15095137420718815,0.7867772902955864,0.5993431632310857
0,0.5956818254224877,0.8583720768857123,0.9090909090909091,0.9970114560850075,0.1522198731501057,0.7867772902955864,0.6002203068099113
0,0.5946634884233462,0.8582332940115189,0.9045226130653267,0.9968454258675079,0.1522198731501057,0.7867772902955864,0.5979361587971201
0,0.5944792996819812,0.8583026854486157,0.9047619047619048,0.9968454258675079,0.15264270613107822,0.7867772902955864,0.5982325254173471
0,0.593794267444413,0.8580945111373256,0.8980099502487562,0.9965963805412585,0.15264270613107822,0.7867772902955864,0.5948565481607727
0,0.5931977718429505,0.8582332940115189,0.8985148514851485,0.9965963805412585,0.15348837209302327,0.7867772902955864,0.5954624403228449
0,0.5928846126148428,0.8581639025744223,0.8962962962962963,0.9965133654325087,0.15348837209302327,0.7867772902955864,0.5943531627284188
0,0.5926275410249423,0.8583026854486157,0.8968058968058968,0.9965133654325087,0.1543340380549683,0.7867772902955864,0.5949614045270949
0,0.5924006088271615,0.8582332940115189,0.8946078431372549,0.9964303503237589,0.1543340380549683,0.7867772902955864,0.5938623776927738
0,0.5921514914143023,0.8583026854486157,0.8948655256723717,0.9964303503237589,0.1547568710359408,0.7867772902955864,0.5941679397322701
