,Threshold,Accuracy,Precision,Specificity,Sensitivity,AUC,AUPR
0,0.1593994461215257,0.6906529734230796,0.3126230975828111,0.6813049975095468,0.7382663847780127,0.7857374075908453,0.5469213909618288
0,0.15925715218778788,0.6900284504892096,0.3121201287093314,0.6805578615307986,0.7382663847780127,0.7857374075908453,0.546669906525089
0,0.15924573356601399,0.6900978419263063,0.3122430741733691,0.6805578615307986,0.7386892177589852,0.7857374075908453,0.5469081000290458
0,0.15846151511463888,0.6881548816875998,0.31068824470922995,0.6782334384858044,0.7386892177589852,0.7857374075908453,0.5461306852969763
0,0.15844714496834122,0.6882242731246964,0.3108108108108108,0.6782334384858044,0.7391120507399577,0.7857374075908453,0.5463686891197046
0,0.15838546378657484,0.6878773159392131,0.3105347308580565,0.6778183629420554,0.7391120507399577,0.7857374075908453,0.5462306491433273
0,0.15837972563743807,0.6879467073763098,0.31065719360568383,0.6778183629420554,0.7395348837209302,0.7857374075908453,0.546468601289079
0,0.15832696621155481,0.6878079245021165,0.310546875,0.6776523327245558,0.7395348837209302,0.7857374075908453,0.5464134419862371
0,0.1583167505985122,0.6878773159392131,0.3106692703710279,0.6776523327245558,0.7399577167019028,0.7857374075908453,0.546651360443689
0,0.15821234845786322,0.6872527930053431,0.31017369727047145,0.6769051967458077,0.7399577167019028,0.7857374075908453,0.5464035738934108
0,0.15818724745685725,0.6873221844424398,0.31029594187488924,0.6769051967458077,0.7403805496828753,0.7857374075908453,0.5466414169675575
0,0.15776313501877218,0.6862813128859898,0.3094733121244256,0.6756599701145608,0.7403805496828753,0.7857374075908453,0.5462301020923257
0,0.1577182133321829,0.6863507043230865,0.3095953348648171,0.6756599701145608,0.7408033826638478,0.7857374075908453,0.5464678342344594
0,0.157604173088982,0.6859343557005065,0.3092674315975287,0.6751618794620621,0.7408033826638478,0.7857374075908453,0.5463038826008152
0,0.1575989930075886,0.6860037471376033,0.3093893399223438,0.6751618794620621,0.7412262156448203,0.7857374075908453,0.5465415575351606
0,0.1574226270640663,0.6853792242037332,0.3088986784140969,0.674414743483314,0.7412262156448203,0.7857374075908453,0.5462962267810373
0,0.1573832107673666,0.6855180070779265,0.3091421525453585,0.674414743483314,0.7420718816067653,0.7857374075908453,0.5467714053905439
0,0.1573314838770553,0.6853098327666366,0.3089788732394366,0.6741656981570646,0.7420718816067653,0.7857374075908453,0.5466897657375829
0,0.15728106601246025,0.6853792242037332,0.30910051047350817,0.6741656981570646,0.7424947145877379,0.7857374075908453,0.5469273051265567
0,0.15712292217520962,0.6850322670182499,0.3088287020752726,0.6737506226133156,0.7424947145877379,0.7857374075908453,0.5467914009274389
0,0.1570483160593475,0.6851710498924433,0.3090717299578059,0.6737506226133156,0.7433403805496829,0.7857374075908453,0.5472663564125814
0,0.15702391276137426,0.6850322670182499,0.30896309314586995,0.673584592395816,0.7433403805496829,0.7857374075908453,0.5472120380066134
0,0.1569815915102767,0.6851710498924433,0.30920590302178497,0.673584592395816,0.7441860465116279,0.7857374075908453,0.5476868844884467
0,0.1567898983230212,0.6843383526472834,0.3085553997194951,0.6725884110908186,0.7441860465116279,0.7857374075908453,0.5473616328373018
0,0.15677249898406984,0.68440774408438,0.3086765994741455,0.6725884110908186,0.7446088794926005,0.7857374075908453,0.5475989534865651
0,0.15622562326330552,0.6832280896537367,0.3077595246417337,0.671177154242072,0.7446088794926005,0.7857374075908453,0.5471404160703591
0,0.1562015406361465,0.6832974810908334,0.30788048226454656,0.671177154242072,0.7450317124735729,0.7857374075908453,0.5473776156537034
0,0.15609006999782896,0.6830893067795434,0.3077191756898358,0.6709281089158227,0.7450317124735729,0.7857374075908453,0.5472969623663481
0,0.15608323553048417,0.6831586982166401,0.30784005587567664,0.6709281089158227,0.7454545454545455,0.7857374075908453,0.5475341232312064
0,0.1560242493596045,0.6828811324682534,0.3076251963008201,0.6705960484808235,0.7454545454545455,0.7857374075908453,0.5474266934437781
0,0.15602349287727224,0.68295052390535,0.3077459874389393,0.6705960484808235,0.7458773784355179,0.7857374075908453,0.5476638097847756
0,0.15601113232176736,0.6828117410311567,0.307638646668992,0.6704300182633239,0.7458773784355179,0.7857374075908453,0.547610139399802
0,0.1559412599387196,0.6828811324682534,0.3077593722755013,0.6704300182633239,0.7463002114164905,0.7857374075908453,0.5478472229749947
0,0.15588310761734636,0.6828117410311567,0.3077057182705718,0.6703470031545742,0.7463002114164905,0.7857374075908453,0.5478203959725298
0,0.1558716059980771,0.6828811324682534,0.3078263900993551,0.6703470031545742,0.746723044397463,0.7857374075908453,0.5480574526588593
0,0.15575132615347345,0.6823953924085768,0.30745125348189417,0.6697658973933256,0.746723044397463,0.7857374075908453,0.5478698843501288
0,0.15574189725621626,0.6824647838456734,0.30757180156657965,0.6697658973933256,0.7471458773784355,0.7857374075908453,0.5481068791644096
0,0.15567660378303325,0.6823260009714801,0.30746476422481295,0.669599867175826,0.7471458773784355,0.7857374075908453,0.5480533604935263
0,0.15566888145336238,0.6823953924085768,0.30758524704244955,0.669599867175826,0.7475687103594081,0.7857374075908453,0.5482903226742825
0,0.1553545111380261,0.6816320866005134,0.30699774266365687,0.6686867009795783,0.7475687103594081,0.7857374075908453,0.5479965704848861
0,0.15530977054388073,0.6817014780376102,0.30711805555555555,0.6686867009795783,0.7479915433403805,0.7857374075908453,0.5482334477027734
0,0.15523292702422908,0.6816320866005134,0.3070647457038709,0.6686036858708285,0.7479915433403805,0.7857374075908453,0.5482067927769311
0,0.15522976693871646,0.6817014780376102,0.30718500520652553,0.6686036858708285,0.7484143763213531,0.7857374075908453,0.5484436433001963
0,0.15515565537099776,0.6813545208521269,0.3069186752210855,0.6681886103270795,0.7484143763213531,0.7857374075908453,0.5483104783074764
0,0.15511476442250546,0.6814239122892235,0.3070388349514563,0.6681886103270795,0.7488372093023256,0.7857374075908453,0.5485472789445996
0,0.15491911085541768,0.6808687807924502,0.3066135734072022,0.6675244894570812,0.7488372093023256,0.7857374075908453,0.5483346481724726
0,0.15488769521269882,0.6809381722295469,0.3067335987536784,0.6675244894570812,0.7492600422832981,0.7857374075908453,0.5485713816176486
0,0.15486378466850867,0.6808687807924502,0.3066805122879889,0.6674414743483313,0.7492600422832981,0.7857374075908453,0.548544838384804
0,0.15481581305142744,0.6809381722295469,0.3068004845128915,0.6674414743483313,0.7496828752642706,0.7857374075908453,0.5487815452691931
