,Threshold,Accuracy,Precision,Specificity,Sensitivity,AUC,AUPR
0,1.991229772567749,0.8358892512663937,0.0,1.0,0.0,0.7855492634120298,0.5820553743668031
0,0.991229772567749,0.8359586427034904,1.0,1.0,0.00042283298097251583,0.7855492634120298,0.5822320951387411
0,0.9887240529060364,0.8394976059954201,1.0,1.0,0.021987315010570826,0.7855492634120298,0.5912448545075752
0,0.9887153506278992,0.8396363888696134,1.0,1.0,0.022832980972515855,0.7855492634120298,0.5915982960514512
0,0.9883518815040588,0.8411630004857401,1.0,1.0,0.032135306553911204,0.7855492634120298,0.5954861530340855
0,0.9883295297622681,0.8413017833599333,1.0,1.0,0.03298097251585624,0.7855492634120298,0.5958395945779613
0,0.9880930781364441,0.8421344806050933,1.0,1.0,0.03805496828752643,0.7855492634120298,0.5979602438412165
0,0.9880924224853516,0.8422732634792867,1.0,1.0,0.03890063424947146,0.7855492634120298,0.5983136853850923
0,0.9871518611907959,0.8442162237179932,1.0,1.0,0.0507399577167019,0.7855492634120298,0.6032618669993544
0,0.987116277217865,0.8443550065921865,1.0,1.0,0.051585623678646934,0.7855492634120298,0.6036153085432302
0,0.9679473042488098,0.8583026854486157,1.0,1.0,0.1365750528541226,0.7855492634120298,0.6391361837027535
0,0.7693752646446228,0.8581639025744223,0.9938461538461538,0.9998339697825004,0.1365750528541226,0.7855492634120298,0.6360592606258304
0,0.7623712420463562,0.8582332940115189,0.9938650306748467,0.9998339697825004,0.13699788583509515,0.7855492634120298,0.6362454198121148
0,0.7476568818092346,0.8581639025744223,0.9908256880733946,0.9997509546737506,0.13699788583509515,0.7855492634120298,0.6347257485113887
0,0.7194509506225586,0.8583720768857123,0.990909090909091,0.9997509546737506,0.13826638477801267,0.7855492634120298,0.6352976122450507
0,0.7145171165466309,0.8583026854486157,0.9879154078549849,0.9996679395650009,0.13826638477801267,0.7855492634120298,0.6338007707179977
0,0.7032530903816223,0.858441468322809,0.987987987987988,0.9996679395650009,0.13911205073995772,0.7855492634120298,0.634190502328375
0,0.6998901963233948,0.8583720768857123,0.9850299401197605,0.999584924456251,0.13911205073995772,0.7855492634120298,0.6327114783942613
